,population,year,week
3341,5434201,2014,1
3342,5435350,2014,2
3343,5436499,2014,3
3344,5437648,2014,4
3345,5438796,2014,5
3346,5439945,2014,6
3347,5441094,2014,7
3348,5442242,2014,8
3349,5443391,2014,9
3350,5444540,2014,10
3351,5445689,2014,11
3352,5446837,2014,12
3353,5447986,2014,13
3354,5449135,2014,14
3355,5450283,2014,15
3356,5451432,2014,16
3357,5452581,2014,17
3358,5453730,2014,18
3359,5454878,2014,19
3360,5456027,2014,20
3361,5457176,2014,21
3362,5458324,2014,22
3363,5459473,2014,23
3364,5460622,2014,24
3365,5461771,2014,25
3366,5462919,2014,26
3367,5464068,2014,27
3368,5465217,2014,28
3369,5466366,2014,29
3370,5467514,2014,30
3371,5468663,2014,31
3372,5469812,2014,32
3373,5470960,2014,33
3374,5472109,2014,34
3375,5473258,2014,35
3376,5474407,2014,36
3377,5475555,2014,37
3378,5476704,2014,38
3379,5477853,2014,39
3380,5479001,2014,40
3381,5480150,2014,41
3382,5481299,2014,42
3383,5482448,2014,43
3384,5483596,2014,44
3385,5484745,2014,45
3386,5485894,2014,46
3387,5487042,2014,47
3388,5488191,2014,48
3389,5489340,2014,49
3390,5490489,2014,50
3391,5491637,2014,51
3392,5492786,2014,52
3393,5493935,2015,1
3394,5495084,2015,2
3395,5496232,2015,3
3396,5497381,2015,4
3397,5498530,2015,5
3398,5499678,2015,6
3399,5500827,2015,7
3400,5501976,2015,8
3401,5503125,2015,9
3402,5504273,2015,10
3403,5505422,2015,11
3404,5506571,2015,12
3405,5507719,2015,13
3406,5508868,2015,14
3407,5510017,2015,15
3408,5511166,2015,16
3409,5512314,2015,17
3410,5513463,2015,18
3411,5514612,2015,19
3412,5515760,2015,20
3413,5516909,2015,21
3414,5518058,2015,22
3415,5519207,2015,23
3416,5520355,2015,24
3417,5521504,2015,25
3418,5522653,2015,26
3419,5523802,2015,27
3420,5524950,2015,28
3421,5526099,2015,29
3422,5527248,2015,30
3423,5528396,2015,31
3424,5529545,2015,32
3425,5530694,2015,33
3426,5531843,2015,34
3427,5532991,2015,35
3428,5534140,2015,36
3429,5535289,2015,37
3430,5536437,2015,38
3431,5537586,2015,39
3432,5538735,2015,40
3433,5539884,2015,41
3434,5541032,2015,42
3435,5542181,2015,43
3436,5543330,2015,44
3437,5544479,2015,45
3438,5545627,2015,46
3439,5546776,2015,47
3440,5547925,2015,48
3441,5549073,2015,49
3442,5550222,2015,50
3443,5551371,2015,51
3444,5552520,2015,52
3445,5553668,2016,1
3446,5554817,2016,2
3447,5555966,2016,3
3448,5557114,2016,4
3449,5558263,2016,5
3450,5559412,2016,6
3451,5560561,2016,7
3452,5561709,2016,8
3453,5562858,2016,9
3454,5564007,2016,10
3455,5565155,2016,11
3456,5566304,2016,12
3457,5567453,2016,13
3458,5568602,2016,14
3459,5569750,2016,15
3460,5570899,2016,16
3461,5572048,2016,17
3462,5573197,2016,18
3463,5574345,2016,19
3464,5575494,2016,20
3465,5576643,2016,21
3466,5577791,2016,22
3467,5578940,2016,23
3468,5580089,2016,24
3469,5581238,2016,25
3470,5582386,2016,26
3471,5583535,2016,27
3472,5584684,2016,28
3473,5585832,2016,29
3474,5586981,2016,30
3475,5588130,2016,31
3476,5589279,2016,32
3477,5590427,2016,33
3478,5591576,2016,34
3479,5592725,2016,35
3480,5593873,2016,36
3481,5595022,2016,37
3482,5596171,2016,38
3483,5597320,2016,39
3484,5598468,2016,40
3485,5599617,2016,41
3486,5600766,2016,42
3487,5601915,2016,43
3488,5603063,2016,44
3489,5604212,2016,45
3490,5605361,2016,46
3491,5606509,2016,47
3492,5607658,2016,48
3493,5608807,2016,49
3494,5609956,2016,50
3495,5611104,2016,51
3496,5612253,2016,52
3497,5612253,2017,1
3498,5612253,2017,2
3499,5612253,2017,3
3500,5612253,2017,4
3501,5612253,2017,5
3502,5612253,2017,6
3503,5612253,2017,7
3504,5612253,2017,8
3505,5612253,2017,9
3506,5612253,2017,10
3507,5612253,2017,11
3508,5612253,2017,12
3509,5612253,2017,13
3510,5612253,2017,14
3511,5612253,2017,15
3512,5612253,2017,16
3513,5612253,2017,17
3514,5612253,2017,18
3515,5612253,2017,19
3516,5612253,2017,20
3517,5612253,2017,21
3518,5612253,2017,22
3519,5612253,2017,23
3520,5612253,2017,24
3521,5612253,2017,25
3522,5612253,2017,26
3523,5612253,2017,27
3524,5612253,2017,28
3525,5612253,2017,29
3526,5612253,2017,30
3527,5612253,2017,31
3528,5612253,2017,32
3529,5612253,2017,33
3530,5612253,2017,34
3531,5612253,2017,35
3532,5612253,2017,36
3533,5612253,2017,37
3534,5612253,2017,38
3535,5612253,2017,39
3536,5612253,2017,40
3537,5612253,2017,41
3538,5612253,2017,42
3539,5612253,2017,43
3540,5612253,2017,44
3541,5612253,2017,45
3542,5612253,2017,46
3543,5612253,2017,47
3544,5612253,2017,48
3545,5612253,2017,49
3546,5612253,2017,50
3547,5612253,2017,51
3548,5612253,2017,52
3549,5612253,2018,1
3550,5612253,2018,2
3551,5612253,2018,3
3552,5612253,2018,4
3553,5612253,2018,5
3554,5612253,2018,6
3555,5612253,2018,7
3556,5612253,2018,8
3557,5612253,2018,9
3558,5612253,2018,10
3559,5612253,2018,11
3560,5612253,2018,12
3561,5612253,2018,13
3562,5612253,2018,14
3563,5612253,2018,15
3564,5612253,2018,16
3565,5612253,2018,17
3566,5612253,2018,18
3567,5612253,2018,19
3568,5612253,2018,20
3569,5612253,2018,21
3570,5612253,2018,22
3571,5612253,2018,23
3572,5612253,2018,24
3573,5612253,2018,25
3574,5612253,2018,26
3575,5612253,2018,27
3576,5612253,2018,28
3577,5612253,2018,29
3578,5612253,2018,30
3579,5612253,2018,31
3580,5612253,2018,32
3581,5612253,2018,33
3582,5612253,2018,34
3583,5612253,2018,35
3584,5612253,2018,36
3585,5612253,2018,37
3586,5612253,2018,38
3587,5612253,2018,39
3588,5612253,2018,40
3589,5612253,2018,41
3590,5612253,2018,42
3591,5612253,2018,43
3592,5612253,2018,44
3593,5612253,2018,45
3594,5612253,2018,46
3595,5612253,2018,47
3596,5612253,2018,48
3597,5612253,2018,49
3598,5612253,2018,50
3599,5612253,2018,51
3600,5612253,2018,52
