,population
24/12/1972,2181976
31/12/1972,2182631
7/1/1973,2183286
14/1/1973,2183941
21/1/1973,2184597
28/1/1973,2185252
4/2/1973,2185907
11/2/1973,2186562
18/2/1973,2187217
25/2/1973,2187872
4/3/1973,2188527
11/3/1973,2189182
18/3/1973,2189837
25/3/1973,2190492
1/4/1973,2191147
8/4/1973,2191802
15/4/1973,2192457
22/4/1973,2193112
29/4/1973,2193767
6/5/1973,2194422
13/5/1973,2195077
20/5/1973,2195732
27/5/1973,2196387
3/6/1973,2197043
10/6/1973,2197698
17/6/1973,2198353
24/6/1973,2199008
1/7/1973,2199663
8/7/1973,2200318
15/7/1973,2200973
22/7/1973,2201628
29/7/1973,2202283
5/8/1973,2202938
12/8/1973,2203593
19/8/1973,2204248
26/8/1973,2204903
2/9/1973,2205558
9/9/1973,2206213
16/9/1973,2206868
23/9/1973,2207523
30/9/1973,2208178
7/10/1973,2208833
14/10/1973,2209489
21/10/1973,2210144
28/10/1973,2210799
4/11/1973,2211454
11/11/1973,2212109
18/11/1973,2212764
25/11/1973,2213419
2/12/1973,2214074
9/12/1973,2214729
16/12/1973,2215384
23/12/1973,2216039
30/12/1973,2216694
6/1/1974,2217349
13/1/1974,2218004
20/1/1974,2218659
27/1/1974,2219314
3/2/1974,2219969
10/2/1974,2220624
17/2/1974,2221279
24/2/1974,2221934
3/3/1974,2222590
10/3/1974,2223245
17/3/1974,2223900
24/3/1974,2224555
31/3/1974,2225210
7/4/1974,2225865
14/4/1974,2226520
21/4/1974,2227175
28/4/1974,2227830
5/5/1974,2228485
12/5/1974,2229140
19/5/1974,2229795
26/5/1974,2230450
2/6/1974,2231105
9/6/1974,2231760
16/6/1974,2232415
23/6/1974,2233070
30/6/1974,2233725
7/7/1974,2234380
14/7/1974,2235036
21/7/1974,2235691
28/7/1974,2236346
4/8/1974,2237001
11/8/1974,2237656
18/8/1974,2238311
25/8/1974,2238966
1/9/1974,2239621
8/9/1974,2240276
15/9/1974,2240931
22/9/1974,2241586
29/9/1974,2242241
6/10/1974,2242896
13/10/1974,2243551
20/10/1974,2244206
27/10/1974,2244861
3/11/1974,2245516
10/11/1974,2246171
17/11/1974,2246826
24/11/1974,2247482
1/12/1974,2248137
8/12/1974,2248792
15/12/1974,2249447
22/12/1974,2250102
29/12/1974,2250757
5/1/1975,2251412
12/1/1975,2252067
19/1/1975,2252722
26/1/1975,2253377
2/2/1975,2254032
9/2/1975,2254687
16/2/1975,2255342
23/2/1975,2255997
2/3/1975,2256652
9/3/1975,2257307
16/3/1975,2257962
23/3/1975,2258617
30/3/1975,2259272
6/4/1975,2259928
13/4/1975,2260583
20/4/1975,2261238
27/4/1975,2261893
4/5/1975,2262548
11/5/1975,2263203
18/5/1975,2263858
25/5/1975,2264513
1/6/1975,2265168
8/6/1975,2265823
15/6/1975,2266478
22/6/1975,2267133
29/6/1975,2267788
6/7/1975,2268443
13/7/1975,2269098
20/7/1975,2269753
27/7/1975,2270408
3/8/1975,2271063
10/8/1975,2271718
17/8/1975,2272374
24/8/1975,2273029
31/8/1975,2273684
7/9/1975,2274339
14/9/1975,2274994
21/9/1975,2275649
28/9/1975,2276304
5/10/1975,2276959
12/10/1975,2277614
19/10/1975,2278269
26/10/1975,2278924
2/11/1975,2279579
9/11/1975,2280234
16/11/1975,2280889
23/11/1975,2281544
30/11/1975,2282199
7/12/1975,2282854
14/12/1975,2283509
21/12/1975,2284164
28/12/1975,2284820
4/1/1976,2285475
11/1/1976,2286130
18/1/1976,2286785
25/1/1976,2287440
1/2/1976,2288095
8/2/1976,2288750
15/2/1976,2289405
22/2/1976,2290060
29/2/1976,2290715
7/3/1976,2291370
14/3/1976,2292025
21/3/1976,2292680
28/3/1976,2293335
4/4/1976,2293990
11/4/1976,2294645
18/4/1976,2295300
25/4/1976,2295955
2/5/1976,2296610
9/5/1976,2297266
16/5/1976,2297921
23/5/1976,2298576
30/5/1976,2299231
6/6/1976,2299886
13/6/1976,2300541
20/6/1976,2301196
27/6/1976,2301851
4/7/1976,2302506
11/7/1976,2303161
18/7/1976,2303816
25/7/1976,2304471
1/8/1976,2305126
8/8/1976,2305781
15/8/1976,2306436
22/8/1976,2307091
29/8/1976,2307746
5/9/1976,2308401
12/9/1976,2309056
19/9/1976,2309711
26/9/1976,2310367
3/10/1976,2311022
10/10/1976,2311677
17/10/1976,2312332
24/10/1976,2312987
31/10/1976,2313642
7/11/1976,2314297
14/11/1976,2314952
21/11/1976,2315607
28/11/1976,2316262
5/12/1976,2316917
12/12/1976,2317572
19/12/1976,2318227
26/12/1976,2318882
2/1/1977,2319537
9/1/1977,2320192
16/1/1977,2320847
23/1/1977,2321502
30/1/1977,2322157
6/2/1977,2322813
13/2/1977,2323468
20/2/1977,2324123
27/2/1977,2324778
6/3/1977,2325433
13/3/1977,2326088
20/3/1977,2326743
27/3/1977,2327398
3/4/1977,2328053
10/4/1977,2328708
17/4/1977,2329363
24/4/1977,2330018
1/5/1977,2330673
8/5/1977,2331328
15/5/1977,2331983
22/5/1977,2332638
29/5/1977,2333293
5/6/1977,2333948
12/6/1977,2334603
19/6/1977,2335259
26/6/1977,2335914
3/7/1977,2336569
10/7/1977,2337224
17/7/1977,2337879
24/7/1977,2338534
31/7/1977,2339189
7/8/1977,2339844
14/8/1977,2340499
21/8/1977,2341154
28/8/1977,2341809
4/9/1977,2342464
11/9/1977,2343119
18/9/1977,2343774
25/9/1977,2344429
2/10/1977,2345084
9/10/1977,2345739
16/10/1977,2346394
23/10/1977,2347049
30/10/1977,2347705
6/11/1977,2348360
13/11/1977,2349015
20/11/1977,2349670
27/11/1977,2350325
4/12/1977,2350980
11/12/1977,2351635
18/12/1977,2352290
25/12/1977,2352945
1/1/1978,2353600
8/1/1978,2354810
15/1/1978,2356019
22/1/1978,2357229
29/1/1978,2358439
5/2/1978,2359648
12/2/1978,2360858
19/2/1978,2362068
26/2/1978,2363277
5/3/1978,2364487
12/3/1978,2365697
19/3/1978,2366906
26/3/1978,2368116
2/4/1978,2369325
9/4/1978,2370535
16/4/1978,2371745
23/4/1978,2372954
30/4/1978,2374164
7/5/1978,2375374
14/5/1978,2376583
21/5/1978,2377793
28/5/1978,2379003
4/6/1978,2380212
11/6/1978,2381422
18/6/1978,2382632
25/6/1978,2383841
2/7/1978,2385051
9/7/1978,2386261
16/7/1978,2387470
23/7/1978,2388680
30/7/1978,2389890
6/8/1978,2391099
13/8/1978,2392309
20/8/1978,2393519
27/8/1978,2394728
3/9/1978,2395938
10/9/1978,2397147
17/9/1978,2398357
24/9/1978,2399567
1/10/1978,2400776
8/10/1978,2401986
15/10/1978,2403196
22/10/1978,2404405
29/10/1978,2405615
5/11/1978,2406825
12/11/1978,2408034
19/11/1978,2409244
26/11/1978,2410454
3/12/1978,2411663
10/12/1978,2412873
17/12/1978,2414083
24/12/1978,2415292
31/12/1978,2416502
7/1/1979,2417712
14/1/1979,2418921
21/1/1979,2420131
28/1/1979,2421340
4/2/1979,2422550
11/2/1979,2423760
18/2/1979,2424969
25/2/1979,2426179
4/3/1979,2427389
11/3/1979,2428598
18/3/1979,2429808
25/3/1979,2431018
1/4/1979,2432227
8/4/1979,2433437
15/4/1979,2434647
22/4/1979,2435856
29/4/1979,2437066
6/5/1979,2438276
13/5/1979,2439485
20/5/1979,2440695
27/5/1979,2441905
3/6/1979,2443114
10/6/1979,2444324
17/6/1979,2445534
24/6/1979,2446743
1/7/1979,2447953
8/7/1979,2449162
15/7/1979,2450372
22/7/1979,2451582
29/7/1979,2452791
5/8/1979,2454001
12/8/1979,2455211
19/8/1979,2456420
26/8/1979,2457630
2/9/1979,2458840
9/9/1979,2460049
16/9/1979,2461259
23/9/1979,2462469
30/9/1979,2463678
7/10/1979,2464888
14/10/1979,2466098
21/10/1979,2467307
28/10/1979,2468517
4/11/1979,2469727
11/11/1979,2470936
18/11/1979,2472146
25/11/1979,2473356
2/12/1979,2474565
9/12/1979,2475775
16/12/1979,2476984
23/12/1979,2478194
30/12/1979,2479404
6/1/1980,2480613
13/1/1980,2481823
20/1/1980,2483033
27/1/1980,2484242
3/2/1980,2485452
10/2/1980,2486662
17/2/1980,2487871
24/2/1980,2489081
2/3/1980,2490291
9/3/1980,2491500
16/3/1980,2492710
23/3/1980,2493920
30/3/1980,2495129
6/4/1980,2496339
13/4/1980,2497549
20/4/1980,2498758
27/4/1980,2499968
4/5/1980,2501178
11/5/1980,2502387
18/5/1980,2503597
25/5/1980,2504806
1/6/1980,2506016
8/6/1980,2507226
15/6/1980,2508435
22/6/1980,2509645
29/6/1980,2510855
6/7/1980,2512064
13/7/1980,2513274
20/7/1980,2514484
27/7/1980,2515693
3/8/1980,2516903
10/8/1980,2518113
17/8/1980,2519322
24/8/1980,2520532
31/8/1980,2521742
7/9/1980,2522951
14/9/1980,2524161
21/9/1980,2525371
28/9/1980,2526580
5/10/1980,2527790
12/10/1980,2529000
19/10/1980,2530209
26/10/1980,2531419
2/11/1980,2532628
9/11/1980,2533838
16/11/1980,2535048
23/11/1980,2536257
30/11/1980,2537467
7/12/1980,2538677
14/12/1980,2539886
21/12/1980,2541096
28/12/1980,2542306
4/1/1981,2543515
11/1/1981,2544725
18/1/1981,2545935
25/1/1981,2547144
1/2/1981,2548354
8/2/1981,2549564
15/2/1981,2550773
22/2/1981,2551983
1/3/1981,2553193
8/3/1981,2554402
15/3/1981,2555612
22/3/1981,2556821
29/3/1981,2558031
5/4/1981,2559241
12/4/1981,2560450
19/4/1981,2561660
26/4/1981,2562870
3/5/1981,2564079
10/5/1981,2565289
17/5/1981,2566499
24/5/1981,2567708
31/5/1981,2568918
7/6/1981,2570128
14/6/1981,2571337
21/6/1981,2572547
28/6/1981,2573757
5/7/1981,2574966
12/7/1981,2576176
19/7/1981,2577386
26/7/1981,2578595
2/8/1981,2579805
9/8/1981,2581015
16/8/1981,2582224
23/8/1981,2583434
30/8/1981,2584643
6/9/1981,2585853
13/9/1981,2587063
20/9/1981,2588272
27/9/1981,2589482
4/10/1981,2590692
11/10/1981,2591901
18/10/1981,2593111
25/10/1981,2594321
1/11/1981,2595530
8/11/1981,2596740
15/11/1981,2597950
22/11/1981,2599159
29/11/1981,2600369
6/12/1981,2601579
13/12/1981,2602788
20/12/1981,2603998
27/12/1981,2605208
3/1/1982,2606417
10/1/1982,2607627
17/1/1982,2608837
24/1/1982,2610046
31/1/1982,2611256
7/2/1982,2612465
14/2/1982,2613675
21/2/1982,2614885
28/2/1982,2616094
7/3/1982,2617304
14/3/1982,2618514
21/3/1982,2619723
28/3/1982,2620933
4/4/1982,2622143
11/4/1982,2623352
18/4/1982,2624562
25/4/1982,2625772
2/5/1982,2626981
9/5/1982,2628191
16/5/1982,2629401
23/5/1982,2630610
30/5/1982,2631820
6/6/1982,2633030
13/6/1982,2634239
20/6/1982,2635449
27/6/1982,2636659
4/7/1982,2637868
11/7/1982,2639078
18/7/1982,2640287
25/7/1982,2641497
1/8/1982,2642707
8/8/1982,2643916
15/8/1982,2645126
22/8/1982,2646336
29/8/1982,2647545
5/9/1982,2648755
12/9/1982,2649965
19/9/1982,2651174
26/9/1982,2652384
3/10/1982,2653594
10/10/1982,2654803
17/10/1982,2656013
24/10/1982,2657223
31/10/1982,2658432
7/11/1982,2659642
14/11/1982,2660852
21/11/1982,2662061
28/11/1982,2663271
5/12/1982,2664481
12/12/1982,2665690
19/12/1982,2666900
26/12/1982,2668109
2/1/1983,2669319
9/1/1983,2670529
16/1/1983,2671738
23/1/1983,2672948
30/1/1983,2674158
6/2/1983,2675367
13/2/1983,2676577
20/2/1983,2677787
27/2/1983,2678996
6/3/1983,2680206
13/3/1983,2681416
20/3/1983,2682625
27/3/1983,2683835
3/4/1983,2685045
10/4/1983,2686254
17/4/1983,2687464
24/4/1983,2688674
1/5/1983,2689883
8/5/1983,2691093
15/5/1983,2692302
22/5/1983,2693512
29/5/1983,2694722
5/6/1983,2695931
12/6/1983,2697141
19/6/1983,2698351
26/6/1983,2699560
3/7/1983,2700770
10/7/1983,2701980
17/7/1983,2703189
24/7/1983,2704399
31/7/1983,2705609
7/8/1983,2706818
14/8/1983,2708028
21/8/1983,2709238
28/8/1983,2710447
4/9/1983,2711657
11/9/1983,2712867
18/9/1983,2714076
25/9/1983,2715286
2/10/1983,2716496
9/10/1983,2717705
16/10/1983,2718915
23/10/1983,2720124
30/10/1983,2721334
6/11/1983,2722544
13/11/1983,2723753
20/11/1983,2724963
27/11/1983,2726173
4/12/1983,2727382
11/12/1983,2728592
18/12/1983,2729802
25/12/1983,2731011
1/1/1984,2732221
8/1/1984,2732982
15/1/1984,2733743
22/1/1984,2734505
29/1/1984,2735266
5/2/1984,2736027
12/2/1984,2736788
19/2/1984,2737550
26/2/1984,2738311
4/3/1984,2739072
11/3/1984,2739833
18/3/1984,2740594
25/3/1984,2741356
1/4/1984,2742117
8/4/1984,2742878
15/4/1984,2743639
22/4/1984,2744401
29/4/1984,2745162
6/5/1984,2745923
13/5/1984,2746684
20/5/1984,2747446
27/5/1984,2748207
3/6/1984,2748968
10/6/1984,2749729
17/6/1984,2750490
24/6/1984,2751252
1/7/1984,2752013
8/7/1984,2752774
15/7/1984,2753535
22/7/1984,2754297
29/7/1984,2755058
5/8/1984,2755819
12/8/1984,2756580
19/8/1984,2757341
26/8/1984,2758103
2/9/1984,2758864
9/9/1984,2759625
16/9/1984,2760386
23/9/1984,2761148
30/9/1984,2761909
7/10/1984,2762670
14/10/1984,2763431
21/10/1984,2764192
28/10/1984,2764954
4/11/1984,2765715
11/11/1984,2766476
18/11/1984,2767237
25/11/1984,2767999
2/12/1984,2768760
9/12/1984,2769521
16/12/1984,2770282
23/12/1984,2771044
30/12/1984,2771805
6/1/1985,2772566
13/1/1985,2773327
20/1/1985,2774088
27/1/1985,2774850
3/2/1985,2775611
10/2/1985,2776372
17/2/1985,2777133
24/2/1985,2777895
3/3/1985,2778656
10/3/1985,2779417
17/3/1985,2780178
24/3/1985,2780939
31/3/1985,2781701
7/4/1985,2782462
14/4/1985,2783223
21/4/1985,2783984
28/4/1985,2784746
5/5/1985,2785507
12/5/1985,2786268
19/5/1985,2787029
26/5/1985,2787791
2/6/1985,2788552
9/6/1985,2789313
16/6/1985,2790074
23/6/1985,2790835
30/6/1985,2791597
7/7/1985,2792358
14/7/1985,2793119
21/7/1985,2793880
28/7/1985,2794642
4/8/1985,2795403
11/8/1985,2796164
18/8/1985,2796925
25/8/1985,2797686
1/9/1985,2798448
8/9/1985,2799209
15/9/1985,2799970
22/9/1985,2800731
29/9/1985,2801493
6/10/1985,2802254
13/10/1985,2803015
20/10/1985,2803776
27/10/1985,2804537
3/11/1985,2805299
10/11/1985,2806060
17/11/1985,2806821
24/11/1985,2807582
1/12/1985,2808344
8/12/1985,2809105
15/12/1985,2809866
22/12/1985,2810627
29/12/1985,2811389
5/1/1986,2812150
12/1/1986,2812911
19/1/1986,2813672
26/1/1986,2814433
2/2/1986,2815195
9/2/1986,2815956
16/2/1986,2816717
23/2/1986,2817478
2/3/1986,2818240
9/3/1986,2819001
16/3/1986,2819762
23/3/1986,2820523
30/3/1986,2821284
6/4/1986,2822046
13/4/1986,2822807
20/4/1986,2823568
27/4/1986,2824329
4/5/1986,2825091
11/5/1986,2825852
18/5/1986,2826613
25/5/1986,2827374
1/6/1986,2828135
8/6/1986,2828897
15/6/1986,2829658
22/6/1986,2830419
29/6/1986,2831180
6/7/1986,2831942
13/7/1986,2832703
20/7/1986,2833464
27/7/1986,2834225
3/8/1986,2834987
10/8/1986,2835748
17/8/1986,2836509
24/8/1986,2837270
31/8/1986,2838031
7/9/1986,2838793
14/9/1986,2839554
21/9/1986,2840315
28/9/1986,2841076
5/10/1986,2841838
12/10/1986,2842599
19/10/1986,2843360
26/10/1986,2844121
2/11/1986,2844882
9/11/1986,2845644
16/11/1986,2846405
23/11/1986,2847166
30/11/1986,2847927
7/12/1986,2848689
14/12/1986,2849450
21/12/1986,2850211
28/12/1986,2850972
4/1/1987,2851733
11/1/1987,2852495
18/1/1987,2853256
25/1/1987,2854017
1/2/1987,2854778
8/2/1987,2855540
15/2/1987,2856301
22/2/1987,2857062
1/3/1987,2857823
8/3/1987,2858585
15/3/1987,2859346
22/3/1987,2860107
29/3/1987,2860868
5/4/1987,2861629
12/4/1987,2862391
19/4/1987,2863152
26/4/1987,2863913
3/5/1987,2864674
10/5/1987,2865436
17/5/1987,2866197
24/5/1987,2866958
31/5/1987,2867719
7/6/1987,2868480
14/6/1987,2869242
21/6/1987,2870003
28/6/1987,2870764
5/7/1987,2871525
12/7/1987,2872287
19/7/1987,2873048
26/7/1987,2873809
2/8/1987,2874570
9/8/1987,2875331
16/8/1987,2876093
23/8/1987,2876854
30/8/1987,2877615
6/9/1987,2878376
13/9/1987,2879138
20/9/1987,2879899
27/9/1987,2880660
4/10/1987,2881421
11/10/1987,2882183
18/10/1987,2882944
25/10/1987,2883705
1/11/1987,2884466
8/11/1987,2885227
15/11/1987,2885989
22/11/1987,2886750
29/11/1987,2887511
6/12/1987,2888272
13/12/1987,2889034
20/12/1987,2889795
27/12/1987,2890556
3/1/1988,2891317
10/1/1988,2892078
17/1/1988,2892840
24/1/1988,2893601
31/1/1988,2894362
7/2/1988,2895123
14/2/1988,2895885
21/2/1988,2896646
28/2/1988,2897407
6/3/1988,2898168
13/3/1988,2898930
20/3/1988,2899691
27/3/1988,2900452
3/4/1988,2901213
10/4/1988,2901974
17/4/1988,2902736
24/4/1988,2903497
1/5/1988,2904258
8/5/1988,2905019
15/5/1988,2905781
22/5/1988,2906542
29/5/1988,2907303
5/6/1988,2908064
12/6/1988,2908825
19/6/1988,2909587
26/6/1988,2910348
3/7/1988,2911109
10/7/1988,2911870
17/7/1988,2912632
24/7/1988,2913393
31/7/1988,2914154
7/8/1988,2914915
14/8/1988,2915676
21/8/1988,2916438
28/8/1988,2917199
4/9/1988,2917960
11/9/1988,2918721
18/9/1988,2919483
25/9/1988,2920244
2/10/1988,2921005
9/10/1988,2921766
16/10/1988,2922528
23/10/1988,2923289
30/10/1988,2924050
6/11/1988,2924811
13/11/1988,2925572
20/11/1988,2926334
27/11/1988,2927095
4/12/1988,2927856
11/12/1988,2928617
18/12/1988,2929379
25/12/1988,2930140
1/1/1989,2930901
8/1/1989,2932798
15/1/1989,2934694
22/1/1989,2936591
29/1/1989,2938487
5/2/1989,2940384
12/2/1989,2942280
19/2/1989,2944177
26/2/1989,2946073
5/3/1989,2947970
12/3/1989,2949866
19/3/1989,2951763
26/3/1989,2953659
2/4/1989,2955556
9/4/1989,2957452
16/4/1989,2959349
23/4/1989,2961245
30/4/1989,2963142
7/5/1989,2965038
14/5/1989,2966935
21/5/1989,2968831
28/5/1989,2970728
4/6/1989,2972624
11/6/1989,2974521
18/6/1989,2976417
25/6/1989,2978314
2/7/1989,2980210
9/7/1989,2982107
16/7/1989,2984003
23/7/1989,2985900
30/7/1989,2987796
6/8/1989,2989693
13/8/1989,2991589
20/8/1989,2993486
27/8/1989,2995382
3/9/1989,2997279
10/9/1989,2999175
17/9/1989,3001072
24/9/1989,3002968
1/10/1989,3004865
8/10/1989,3006761
15/10/1989,3008658
22/10/1989,3010554
29/10/1989,3012451
5/11/1989,3014347
12/11/1989,3016244
19/11/1989,3018140
26/11/1989,3020037
3/12/1989,3021933
10/12/1989,3023830
17/12/1989,3025726
24/12/1989,3027623
31/12/1989,3029519
7/1/1990,3031416
14/1/1990,3033312
21/1/1990,3035209
28/1/1990,3037105
4/2/1990,3039002
11/2/1990,3040898
18/2/1990,3042795
25/2/1990,3044691
4/3/1990,3046588
11/3/1990,3048484
18/3/1990,3050381
25/3/1990,3052277
1/4/1990,3054174
8/4/1990,3056070
15/4/1990,3057967
22/4/1990,3059863
29/4/1990,3061760
6/5/1990,3063656
13/5/1990,3065553
20/5/1990,3067449
27/5/1990,3069346
3/6/1990,3071242
10/6/1990,3073139
17/6/1990,3075035
24/6/1990,3076932
1/7/1990,3078828
8/7/1990,3080725
15/7/1990,3082621
22/7/1990,3084518
29/7/1990,3086414
5/8/1990,3088311
12/8/1990,3090207
19/8/1990,3092104
26/8/1990,3094000
2/9/1990,3095897
9/9/1990,3097793
16/9/1990,3099690
23/9/1990,3101586
30/9/1990,3103483
7/10/1990,3105379
14/10/1990,3107276
21/10/1990,3109172
28/10/1990,3111069
4/11/1990,3112965
11/11/1990,3114862
18/11/1990,3116758
25/11/1990,3118655
2/12/1990,3120551
9/12/1990,3122448
16/12/1990,3124344
23/12/1990,3126241
30/12/1990,3128137
6/1/1991,3130034
13/1/1991,3131930
20/1/1991,3133827
27/1/1991,3135723
3/2/1991,3137620
10/2/1991,3139516
17/2/1991,3141413
24/2/1991,3143309
3/3/1991,3145206
10/3/1991,3147102
17/3/1991,3148999
24/3/1991,3150895
31/3/1991,3152792
7/4/1991,3154688
14/4/1991,3156585
21/4/1991,3158481
28/4/1991,3160378
5/5/1991,3162274
12/5/1991,3164171
19/5/1991,3166067
26/5/1991,3167964
2/6/1991,3169860
9/6/1991,3171757
16/6/1991,3173653
23/6/1991,3175550
30/6/1991,3177446
7/7/1991,3179343
14/7/1991,3181239
21/7/1991,3183136
28/7/1991,3185032
4/8/1991,3186929
11/8/1991,3188825
18/8/1991,3190722
25/8/1991,3192618
1/9/1991,3194515
8/9/1991,3196411
15/9/1991,3198308
22/9/1991,3200204
29/9/1991,3202101
6/10/1991,3203997
13/10/1991,3205894
20/10/1991,3207790
27/10/1991,3209687
3/11/1991,3211583
10/11/1991,3213480
17/11/1991,3215376
24/11/1991,3217273
1/12/1991,3219169
8/12/1991,3221066
15/12/1991,3222962
22/12/1991,3224859
29/12/1991,3226755
5/1/1992,3228652
12/1/1992,3230548
19/1/1992,3232445
26/1/1992,3234341
2/2/1992,3236238
9/2/1992,3238134
16/2/1992,3240031
23/2/1992,3241927
1/3/1992,3243824
8/3/1992,3245720
15/3/1992,3247617
22/3/1992,3249513
29/3/1992,3251410
5/4/1992,3253306
12/4/1992,3255203
19/4/1992,3257099
26/4/1992,3258996
3/5/1992,3260892
10/5/1992,3262789
17/5/1992,3264685
24/5/1992,3266582
31/5/1992,3268478
7/6/1992,3270375
14/6/1992,3272271
21/6/1992,3274168
28/6/1992,3276064
5/7/1992,3277961
12/7/1992,3279857
19/7/1992,3281754
26/7/1992,3283650
2/8/1992,3285547
9/8/1992,3287443
16/8/1992,3289340
23/8/1992,3291236
30/8/1992,3293133
6/9/1992,3295029
13/9/1992,3296926
20/9/1992,3298822
27/9/1992,3300719
4/10/1992,3302615
11/10/1992,3304512
18/10/1992,3306408
25/10/1992,3308305
1/11/1992,3310201
8/11/1992,3312098
15/11/1992,3313994
22/11/1992,3315891
29/11/1992,3317787
6/12/1992,3319684
13/12/1992,3321580
20/12/1992,3323477
27/12/1992,3325373
3/1/1993,3327270
10/1/1993,3329166
17/1/1993,3331063
24/1/1993,3332959
31/1/1993,3334856
7/2/1993,3336752
14/2/1993,3338649
21/2/1993,3340545
28/2/1993,3342442
7/3/1993,3344338
14/3/1993,3346235
21/3/1993,3348131
28/3/1993,3350028
4/4/1993,3351924
11/4/1993,3353821
18/4/1993,3355717
25/4/1993,3357614
2/5/1993,3359510
9/5/1993,3361407
16/5/1993,3363303
23/5/1993,3365200
30/5/1993,3367096
6/6/1993,3368993
13/6/1993,3370889
20/6/1993,3372786
27/6/1993,3374682
4/7/1993,3376579
11/7/1993,3378475
18/7/1993,3380372
25/7/1993,3382268
1/8/1993,3384165
8/8/1993,3386061
15/8/1993,3387958
22/8/1993,3389854
29/8/1993,3391751
5/9/1993,3393647
12/9/1993,3395544
19/9/1993,3397440
26/9/1993,3399337
3/10/1993,3401233
10/10/1993,3403130
17/10/1993,3405026
24/10/1993,3406923
31/10/1993,3408819
7/11/1993,3410716
14/11/1993,3412612
21/11/1993,3414509
28/11/1993,3416405
5/12/1993,3418302
12/12/1993,3420198
19/12/1993,3422095
26/12/1993,3423991
2/1/1994,3425888
9/1/1994,3427784
16/1/1994,3429681
23/1/1994,3431577
30/1/1994,3433474
6/2/1994,3435370
13/2/1994,3437267
20/2/1994,3439163
27/2/1994,3441060
6/3/1994,3442956
13/3/1994,3444853
20/3/1994,3446749
27/3/1994,3448646
3/4/1994,3450542
10/4/1994,3452439
17/4/1994,3454335
24/4/1994,3456232
1/5/1994,3458128
8/5/1994,3460025
15/5/1994,3461921
22/5/1994,3463818
29/5/1994,3465714
5/6/1994,3467611
12/6/1994,3469507
19/6/1994,3471404
26/6/1994,3473300
3/7/1994,3475197
10/7/1994,3477093
17/7/1994,3478990
24/7/1994,3480886
31/7/1994,3482783
7/8/1994,3484679
14/8/1994,3486576
21/8/1994,3488472
28/8/1994,3490369
4/9/1994,3492265
11/9/1994,3494162
18/9/1994,3496058
25/9/1994,3497955
2/10/1994,3499851
9/10/1994,3501748
16/10/1994,3503644
23/10/1994,3505541
30/10/1994,3507437
6/11/1994,3509334
13/11/1994,3511230
20/11/1994,3513127
27/11/1994,3515023
4/12/1994,3516920
11/12/1994,3518816
18/12/1994,3520713
25/12/1994,3522609
1/1/1995,3524506
8/1/1995,3526034
15/1/1995,3527561
22/1/1995,3529089
29/1/1995,3530617
5/2/1995,3532144
12/2/1995,3533672
19/2/1995,3535199
26/2/1995,3536727
5/3/1995,3538255
12/3/1995,3539782
19/3/1995,3541310
26/3/1995,3542838
2/4/1995,3544365
9/4/1995,3545893
16/4/1995,3547420
23/4/1995,3548948
30/4/1995,3550476
7/5/1995,3552003
14/5/1995,3553531
21/5/1995,3555059
28/5/1995,3556586
4/6/1995,3558114
11/6/1995,3559641
18/6/1995,3561169
25/6/1995,3562697
2/7/1995,3564224
9/7/1995,3565752
16/7/1995,3567280
23/7/1995,3568807
30/7/1995,3570335
6/8/1995,3571862
13/8/1995,3573390
20/8/1995,3574918
27/8/1995,3576445
3/9/1995,3577973
10/9/1995,3579501
17/9/1995,3581028
24/9/1995,3582556
1/10/1995,3584084
8/10/1995,3585611
15/10/1995,3587139
22/10/1995,3588666
29/10/1995,3590194
5/11/1995,3591722
12/11/1995,3593249
19/11/1995,3594777
26/11/1995,3596305
3/12/1995,3597832
10/12/1995,3599360
17/12/1995,3600887
24/12/1995,3602415
