,population
31/12/1995,3603943
7/1/1996,3605470
14/1/1996,3606998
21/1/1996,3608526
28/1/1996,3610053
4/2/1996,3611581
11/2/1996,3613108
18/2/1996,3614636
25/2/1996,3616164
3/3/1996,3617691
10/3/1996,3619219
17/3/1996,3620747
24/3/1996,3622274
31/3/1996,3623802
7/4/1996,3625330
14/4/1996,3626857
21/4/1996,3628385
28/4/1996,3629912
5/5/1996,3631440
12/5/1996,3632968
19/5/1996,3634495
26/5/1996,3636023
2/6/1996,3637551
9/6/1996,3639078
16/6/1996,3640606
23/6/1996,3642133
30/6/1996,3643661
7/7/1996,3645189
14/7/1996,3646716
21/7/1996,3648244
28/7/1996,3649772
4/8/1996,3651299
11/8/1996,3652827
18/8/1996,3654354
25/8/1996,3655882
1/9/1996,3657410
8/9/1996,3658937
15/9/1996,3660465
22/9/1996,3661993
29/9/1996,3663520
6/10/1996,3665048
13/10/1996,3666575
20/10/1996,3668103
27/10/1996,3669631
3/11/1996,3671158
10/11/1996,3672686
17/11/1996,3674214
24/11/1996,3675741
1/12/1996,3677269
8/12/1996,3678797
15/12/1996,3680324
22/12/1996,3681852
29/12/1996,3683379
5/1/1997,3684907
12/1/1997,3686435
19/1/1997,3687962
26/1/1997,3689490
2/2/1997,3691018
9/2/1997,3692545
16/2/1997,3694073
23/2/1997,3695600
2/3/1997,3697128
9/3/1997,3698656
16/3/1997,3700183
23/3/1997,3701711
30/3/1997,3703239
6/4/1997,3704766
13/4/1997,3706294
20/4/1997,3707821
27/4/1997,3709349
4/5/1997,3710877
11/5/1997,3712404
18/5/1997,3713932
25/5/1997,3715460
1/6/1997,3716987
8/6/1997,3718515
15/6/1997,3720043
22/6/1997,3721570
29/6/1997,3723098
6/7/1997,3724625
13/7/1997,3726153
20/7/1997,3727681
27/7/1997,3729208
3/8/1997,3730736
10/8/1997,3732264
17/8/1997,3733791
24/8/1997,3735319
31/8/1997,3736846
7/9/1997,3738374
14/9/1997,3739902
21/9/1997,3741429
28/9/1997,3742957
5/10/1997,3744485
12/10/1997,3746012
19/10/1997,3747540
26/10/1997,3749067
2/11/1997,3750595
9/11/1997,3752123
16/11/1997,3753650
23/11/1997,3755178
30/11/1997,3756706
7/12/1997,3758233
14/12/1997,3759761
21/12/1997,3761288
28/12/1997,3762816
4/1/1998,3764344
11/1/1998,3765871
18/1/1998,3767399
25/1/1998,3768927
1/2/1998,3770454
8/2/1998,3771982
15/2/1998,3773510
22/2/1998,3775037
1/3/1998,3776565
8/3/1998,3778092
15/3/1998,3779620
22/3/1998,3781148
29/3/1998,3782675
5/4/1998,3784203
12/4/1998,3785731
19/4/1998,3787258
26/4/1998,3788786
3/5/1998,3790313
10/5/1998,3791841
17/5/1998,3793369
24/5/1998,3794896
31/5/1998,3796424
7/6/1998,3797952
14/6/1998,3799479
21/6/1998,3801007
28/6/1998,3802534
5/7/1998,3804062
12/7/1998,3805590
19/7/1998,3807117
26/7/1998,3808645
2/8/1998,3810173
9/8/1998,3811700
16/8/1998,3813228
23/8/1998,3814755
30/8/1998,3816283
6/9/1998,3817811
13/9/1998,3819338
20/9/1998,3820866
27/9/1998,3822394
4/10/1998,3823921
11/10/1998,3825449
18/10/1998,3826977
25/10/1998,3828504
1/11/1998,3830032
8/11/1998,3831559
15/11/1998,3833087
22/11/1998,3834615
29/11/1998,3836142
6/12/1998,3837670
13/12/1998,3839198
20/12/1998,3840725
27/12/1998,3842253
3/1/1999,3843780
10/1/1999,3845308
17/1/1999,3846836
24/1/1999,3848363
31/1/1999,3849891
7/2/1999,3851419
14/2/1999,3852946
21/2/1999,3854474
28/2/1999,3856001
7/3/1999,3857529
14/3/1999,3859057
21/3/1999,3860584
28/3/1999,3862112
4/4/1999,3863640
11/4/1999,3865167
18/4/1999,3866695
25/4/1999,3868223
2/5/1999,3869750
9/5/1999,3871278
16/5/1999,3872805
23/5/1999,3874333
30/5/1999,3875861
6/6/1999,3877388
13/6/1999,3878916
20/6/1999,3880444
27/6/1999,3881971
4/7/1999,3883499
11/7/1999,3885026
18/7/1999,3886554
25/7/1999,3888082
1/8/1999,3889609
8/8/1999,3891137
15/8/1999,3892665
22/8/1999,3894192
29/8/1999,3895720
5/9/1999,3897247
12/9/1999,3898775
19/9/1999,3900303
26/9/1999,3901830
3/10/1999,3903358
10/10/1999,3904886
17/10/1999,3906413
24/10/1999,3907941
31/10/1999,3909468
7/11/1999,3910996
14/11/1999,3912524
21/11/1999,3914051
28/11/1999,3915579
5/12/1999,3917107
12/12/1999,3918634
19/12/1999,3920162
26/12/1999,3921690
2/1/2000,3923217
9/1/2000,3924745
16/1/2000,3926272
23/1/2000,3927800
30/1/2000,3929328
6/2/2000,3930855
13/2/2000,3932383
20/2/2000,3933911
27/2/2000,3935438
5/3/2000,3936966
12/3/2000,3938493
19/3/2000,3940021
26/3/2000,3941549
2/4/2000,3943076
9/4/2000,3944604
16/4/2000,3946132
23/4/2000,3947659
30/4/2000,3949187
7/5/2000,3950714
14/5/2000,3952242
21/5/2000,3953770
28/5/2000,3955297
4/6/2000,3956825
11/6/2000,3958353
18/6/2000,3959880
25/6/2000,3961408
2/7/2000,3962936
9/7/2000,3964463
16/7/2000,3965991
23/7/2000,3967518
30/7/2000,3969046
6/8/2000,3970574
13/8/2000,3972101
20/8/2000,3973629
27/8/2000,3975157
3/9/2000,3976684
10/9/2000,3978212
17/9/2000,3979739
24/9/2000,3981267
1/10/2000,3982795
8/10/2000,3984322
15/10/2000,3985850
22/10/2000,3987378
29/10/2000,3988905
5/11/2000,3990433
12/11/2000,3991960
19/11/2000,3993488
26/11/2000,3995016
3/12/2000,3996543
10/12/2000,3998071
17/12/2000,3999599
24/12/2000,4001126
31/12/2000,4002654
7/1/2001,4004181
14/1/2001,4005709
21/1/2001,4007237
28/1/2001,4008764
4/2/2001,4010292
11/2/2001,4011820
18/2/2001,4013347
25/2/2001,4014875
4/3/2001,4016403
11/3/2001,4017930
18/3/2001,4019458
25/3/2001,4020985
1/4/2001,4022513
8/4/2001,4024041
15/4/2001,4025568
22/4/2001,4027096
29/4/2001,4028624
6/5/2001,4030151
13/5/2001,4031679
20/5/2001,4033206
27/5/2001,4034734
3/6/2001,4036262
10/6/2001,4037789
17/6/2001,4039317
24/6/2001,4040845
1/7/2001,4042372
8/7/2001,4043900
15/7/2001,4045427
22/7/2001,4046955
29/7/2001,4048483
5/8/2001,4050010
12/8/2001,4051538
19/8/2001,4053066
26/8/2001,4054593
2/9/2001,4056121
9/9/2001,4057648
16/9/2001,4059176
23/9/2001,4060704
30/9/2001,4062231
7/10/2001,4063759
14/10/2001,4065287
21/10/2001,4066814
28/10/2001,4068342
4/11/2001,4069870
11/11/2001,4071397
18/11/2001,4072925
25/11/2001,4074452
2/12/2001,4075980
9/12/2001,4077508
16/12/2001,4079035
23/12/2001,4080563
30/12/2001,4082091
6/1/2002,4083618
13/1/2002,4085146
20/1/2002,4086673
27/1/2002,4088201
3/2/2002,4089729
10/2/2002,4091256
17/2/2002,4092784
24/2/2002,4094312
3/3/2002,4095839
10/3/2002,4097367
17/3/2002,4098894
24/3/2002,4100422
31/3/2002,4101950
7/4/2002,4103477
14/4/2002,4105005
21/4/2002,4106533
28/4/2002,4108060
5/5/2002,4109588
12/5/2002,4111116
19/5/2002,4112643
26/5/2002,4114171
2/6/2002,4115698
9/6/2002,4117226
16/6/2002,4118754
23/6/2002,4120281
30/6/2002,4121809
7/7/2002,4123337
14/7/2002,4124864
21/7/2002,4126392
28/7/2002,4127919
4/8/2002,4129447
11/8/2002,4130975
18/8/2002,4132502
25/8/2002,4134030
1/9/2002,4135558
8/9/2002,4137085
15/9/2002,4138613
22/9/2002,4140140
29/9/2002,4141668
6/10/2002,4143196
13/10/2002,4144723
20/10/2002,4146251
27/10/2002,4147779
3/11/2002,4149306
10/11/2002,4150834
17/11/2002,4152361
24/11/2002,4153889
1/12/2002,4155417
8/12/2002,4156944
15/12/2002,4158472
22/12/2002,4160000
29/12/2002,4161527
5/1/2003,4163055
12/1/2003,4164583
19/1/2003,4166110
26/1/2003,4167638
2/2/2003,4169165
9/2/2003,4170693
16/2/2003,4172221
23/2/2003,4173748
2/3/2003,4175276
9/3/2003,4176804
16/3/2003,4178331
23/3/2003,4179859
30/3/2003,4181386
6/4/2003,4182914
13/4/2003,4184442
20/4/2003,4185969
27/4/2003,4187497
4/5/2003,4189025
11/5/2003,4190552
18/5/2003,4192080
25/5/2003,4193607
1/6/2003,4195135
8/6/2003,4196663
15/6/2003,4198190
22/6/2003,4199718
29/6/2003,4201246
6/7/2003,4202773
13/7/2003,4204301
20/7/2003,4205828
27/7/2003,4207356
3/8/2003,4208884
10/8/2003,4210411
17/8/2003,4211939
24/8/2003,4213467
31/8/2003,4214994
7/9/2003,4216522
14/9/2003,4218050
21/9/2003,4219577
28/9/2003,4221105
5/10/2003,4222632
12/10/2003,4224160
19/10/2003,4225688
26/10/2003,4227215
2/11/2003,4228743
9/11/2003,4230271
16/11/2003,4231798
23/11/2003,4233326
30/11/2003,4234853
7/12/2003,4236381
14/12/2003,4237909
21/12/2003,4239436
28/12/2003,4240964
4/1/2004,4242492
11/1/2004,4244019
18/1/2004,4245547
25/1/2004,4247074
1/2/2004,4248602
8/2/2004,4250130
15/2/2004,4251657
22/2/2004,4253185
29/2/2004,4254713
7/3/2004,4256240
14/3/2004,4257768
21/3/2004,4259296
28/3/2004,4260823
4/4/2004,4262351
11/4/2004,4263878
18/4/2004,4265406
25/4/2004,4266934
2/5/2004,4268461
9/5/2004,4269989
16/5/2004,4271517
23/5/2004,4273044
30/5/2004,4274572
6/6/2004,4276099
13/6/2004,4277627
20/6/2004,4279155
27/6/2004,4280682
4/7/2004,4282210
11/7/2004,4283738
18/7/2004,4285265
25/7/2004,4286793
1/8/2004,4288320
8/8/2004,4289848
15/8/2004,4291376
22/8/2004,4292903
29/8/2004,4294431
5/9/2004,4295959
12/9/2004,4297486
19/9/2004,4299014
26/9/2004,4300541
3/10/2004,4302069
10/10/2004,4303597
17/10/2004,4305124
24/10/2004,4306652
31/10/2004,4308180
7/11/2004,4309707
14/11/2004,4311235
21/11/2004,4312763
28/11/2004,4314290
5/12/2004,4315818
12/12/2004,4317345
19/12/2004,4318873
26/12/2004,4320401
2/1/2005,4321928
9/1/2005,4323456
16/1/2005,4324984
23/1/2005,4326511
30/1/2005,4328039
6/2/2005,4329566
13/2/2005,4331094
20/2/2005,4332622
27/2/2005,4334149
6/3/2005,4335677
13/3/2005,4337205
20/3/2005,4338732
27/3/2005,4340260
3/4/2005,4341787
10/4/2005,4343315
17/4/2005,4344843
24/4/2005,4346370
1/5/2005,4347898
8/5/2005,4349426
15/5/2005,4350953
22/5/2005,4352481
29/5/2005,4354009
5/6/2005,4355536
12/6/2005,4357064
19/6/2005,4358591
26/6/2005,4360119
3/7/2005,4361647
10/7/2005,4363174
17/7/2005,4364702
24/7/2005,4366230
31/7/2005,4367757
7/8/2005,4369285
14/8/2005,4370812
21/8/2005,4372340
28/8/2005,4373868
4/9/2005,4375395
11/9/2005,4376923
18/9/2005,4378451
25/9/2005,4379978
2/10/2005,4381506
9/10/2005,4383033
16/10/2005,4384561
23/10/2005,4386089
30/10/2005,4387616
6/11/2005,4389144
13/11/2005,4390672
20/11/2005,4392199
27/11/2005,4393727
4/12/2005,4395254
11/12/2005,4396782
18/12/2005,4398310
25/12/2005,4399837
1/1/2006,4401365
8/1/2006,4404276
15/1/2006,4407187
22/1/2006,4410097
29/1/2006,4413008
5/2/2006,4415919
12/2/2006,4418830
19/2/2006,4421740
26/2/2006,4424651
5/3/2006,4427562
12/3/2006,4430473
19/3/2006,4433384
26/3/2006,4436294
2/4/2006,4439205
9/4/2006,4442116
16/4/2006,4445027
23/4/2006,4447937
30/4/2006,4450848
7/5/2006,4453759
14/5/2006,4456670
21/5/2006,4459580
28/5/2006,4462491
4/6/2006,4465402
11/6/2006,4468313
18/6/2006,4471224
25/6/2006,4474134
2/7/2006,4477045
9/7/2006,4479956
16/7/2006,4482867
23/7/2006,4485777
30/7/2006,4488688
6/8/2006,4491599
13/8/2006,4494510
20/8/2006,4497421
27/8/2006,4500331
3/9/2006,4503242
10/9/2006,4506153
17/9/2006,4509064
24/9/2006,4511974
1/10/2006,4514885
8/10/2006,4517796
15/10/2006,4520707
22/10/2006,4523617
29/10/2006,4526528
5/11/2006,4529439
12/11/2006,4532350
19/11/2006,4535261
26/11/2006,4538171
3/12/2006,4541082
10/12/2006,4543993
17/12/2006,4546904
24/12/2006,4549814
31/12/2006,4552725
7/1/2007,4555636
14/1/2007,4558547
21/1/2007,4561458
28/1/2007,4564368
4/2/2007,4567279
11/2/2007,4570190
18/2/2007,4573101
25/2/2007,4576011
4/3/2007,4578922
11/3/2007,4581833
18/3/2007,4584744
25/3/2007,4587654
1/4/2007,4590565
8/4/2007,4593476
15/4/2007,4596387
22/4/2007,4599298
29/4/2007,4602208
6/5/2007,4605119
13/5/2007,4608030
20/5/2007,4610941
27/5/2007,4613851
3/6/2007,4616762
10/6/2007,4619673
17/6/2007,4622584
24/6/2007,4625495
1/7/2007,4628405
8/7/2007,4631316
15/7/2007,4634227
22/7/2007,4637138
29/7/2007,4640048
5/8/2007,4642959
12/8/2007,4645870
19/8/2007,4648781
26/8/2007,4651691
2/9/2007,4654602
9/9/2007,4657513
16/9/2007,4660424
23/9/2007,4663335
30/9/2007,4666245
7/10/2007,4669156
14/10/2007,4672067
21/10/2007,4674978
28/10/2007,4677888
4/11/2007,4680799
11/11/2007,4683710
18/11/2007,4686621
25/11/2007,4689532
2/12/2007,4692442
9/12/2007,4695353
16/12/2007,4698264
23/12/2007,4701175
30/12/2007,4704085
6/1/2008,4706996
13/1/2008,4709907
20/1/2008,4712818
27/1/2008,4715729
3/2/2008,4718639
10/2/2008,4721550
17/2/2008,4724461
24/2/2008,4727372
2/3/2008,4730282
9/3/2008,4733193
16/3/2008,4736104
23/3/2008,4739015
30/3/2008,4741925
6/4/2008,4744836
13/4/2008,4747747
20/4/2008,4750658
27/4/2008,4753569
4/5/2008,4756479
11/5/2008,4759390
18/5/2008,4762301
25/5/2008,4765212
1/6/2008,4768122
8/6/2008,4771033
15/6/2008,4773944
22/6/2008,4776855
29/6/2008,4779766
6/7/2008,4782676
13/7/2008,4785587
20/7/2008,4788498
27/7/2008,4791409
3/8/2008,4794319
10/8/2008,4797230
17/8/2008,4800141
24/8/2008,4803052
31/8/2008,4805962
7/9/2008,4808873
14/9/2008,4811784
21/9/2008,4814695
28/9/2008,4817606
5/10/2008,4820516
12/10/2008,4823427
19/10/2008,4826338
26/10/2008,4829249
2/11/2008,4832159
9/11/2008,4835070
16/11/2008,4837981
23/11/2008,4840892
30/11/2008,4843803
7/12/2008,4846713
14/12/2008,4849624
21/12/2008,4852535
28/12/2008,4855446
4/1/2009,4858356
11/1/2009,4861267
18/1/2009,4864178
25/1/2009,4867089
1/2/2009,4869999
8/2/2009,4872910
15/2/2009,4875821
22/2/2009,4878732
1/3/2009,4881643
8/3/2009,4884553
15/3/2009,4887464
22/3/2009,4890375
29/3/2009,4893286
5/4/2009,4896196
12/4/2009,4899107
19/4/2009,4902018
26/4/2009,4904929
3/5/2009,4907840
10/5/2009,4910750
17/5/2009,4913661
24/5/2009,4916572
31/5/2009,4919483
7/6/2009,4922393
14/6/2009,4925304
21/6/2009,4928215
28/6/2009,4931126
5/7/2009,4934036
12/7/2009,4936947
19/7/2009,4939858
26/7/2009,4942769
2/8/2009,4945680
9/8/2009,4948590
16/8/2009,4951501
23/8/2009,4954412
30/8/2009,4957323
6/9/2009,4960233
13/9/2009,4963144
20/9/2009,4966055
27/9/2009,4968966
4/10/2009,4971877
11/10/2009,4974787
18/10/2009,4977698
25/10/2009,4980609
1/11/2009,4983520
8/11/2009,4986430
15/11/2009,4989341
22/11/2009,4992252
29/11/2009,4995163
6/12/2009,4998073
13/12/2009,5000984
20/12/2009,5003895
27/12/2009,5006806
3/1/2010,5009717
10/1/2010,5012627
17/1/2010,5015538
24/1/2010,5018449
31/1/2010,5021360
7/2/2010,5024270
14/2/2010,5027181
21/2/2010,5030092
28/2/2010,5033003
7/3/2010,5035914
14/3/2010,5038824
21/3/2010,5041735
28/3/2010,5044646
4/4/2010,5047557
11/4/2010,5050467
18/4/2010,5053378
25/4/2010,5056289
2/5/2010,5059200
9/5/2010,5062111
16/5/2010,5065021
23/5/2010,5067932
30/5/2010,5070843
6/6/2010,5073754
13/6/2010,5076664
20/6/2010,5079575
27/6/2010,5082486
4/7/2010,5085397
11/7/2010,5088307
18/7/2010,5091218
25/7/2010,5094129
1/8/2010,5097040
8/8/2010,5099951
15/8/2010,5102861
22/8/2010,5105772
29/8/2010,5108683
5/9/2010,5111594
12/9/2010,5114504
19/9/2010,5117415
26/9/2010,5120326
3/10/2010,5123237
10/10/2010,5126148
17/10/2010,5129058
24/10/2010,5131969
31/10/2010,5134880
7/11/2010,5137791
14/11/2010,5140701
21/11/2010,5143612
28/11/2010,5146523
5/12/2010,5149434
12/12/2010,5152344
19/12/2010,5155255
26/12/2010,5158166
2/1/2011,5161077
9/1/2011,5163988
16/1/2011,5166898
23/1/2011,5169809
30/1/2011,5172720
6/2/2011,5175631
13/2/2011,5178541
20/2/2011,5181452
27/2/2011,5184363
6/3/2011,5187274
13/3/2011,5190185
20/3/2011,5193095
27/3/2011,5196006
3/4/2011,5198917
10/4/2011,5201828
17/4/2011,5204738
24/4/2011,5207649
1/5/2011,5210560
8/5/2011,5213471
15/5/2011,5216381
22/5/2011,5219292
29/5/2011,5222203
5/6/2011,5225114
12/6/2011,5228025
19/6/2011,5230935
26/6/2011,5233846
3/7/2011,5236757
10/7/2011,5239668
17/7/2011,5242578
24/7/2011,5245489
31/7/2011,5248400
7/8/2011,5251311
14/8/2011,5254222
21/8/2011,5257132
28/8/2011,5260043
4/9/2011,5262954
11/9/2011,5265865
18/9/2011,5268775
25/9/2011,5271686
2/10/2011,5274597
9/10/2011,5277508
16/10/2011,5280418
23/10/2011,5283329
30/10/2011,5286240
6/11/2011,5289151
13/11/2011,5292062
20/11/2011,5294972
27/11/2011,5297883
4/12/2011,5300794
11/12/2011,5303705
18/12/2011,5306615
25/12/2011,5309526
1/1/2012,5312437
8/1/2012,5313586
15/1/2012,5314734
22/1/2012,5315883
29/1/2012,5317032
5/2/2012,5318181
12/2/2012,5319329
19/2/2012,5320478
26/2/2012,5321627
4/3/2012,5322775
11/3/2012,5323924
18/3/2012,5325073
25/3/2012,5326222
1/4/2012,5327370
8/4/2012,5328519
15/4/2012,5329668
22/4/2012,5330817
29/4/2012,5331965
6/5/2012,5333114
13/5/2012,5334263
20/5/2012,5335411
27/5/2012,5336560
3/6/2012,5337709
10/6/2012,5338858
17/6/2012,5340006
24/6/2012,5341155
1/7/2012,5342304
8/7/2012,5343452
15/7/2012,5344601
22/7/2012,5345750
29/7/2012,5346899
5/8/2012,5348047
12/8/2012,5349196
19/8/2012,5350345
26/8/2012,5351493
2/9/2012,5352642
9/9/2012,5353791
16/9/2012,5354940
23/9/2012,5356088
30/9/2012,5357237
7/10/2012,5358386
14/10/2012,5359535
21/10/2012,5360683
28/10/2012,5361832
4/11/2012,5362981
11/11/2012,5364129
18/11/2012,5365278
25/11/2012,5366427
2/12/2012,5367576
9/12/2012,5368724
16/12/2012,5369873
23/12/2012,5371022
30/12/2012,5372170
6/1/2013,5373319
13/1/2013,5374468
20/1/2013,5375617
27/1/2013,5376765
3/2/2013,5377914
10/2/2013,5379063
17/2/2013,5380211
24/2/2013,5381360
3/3/2013,5382509
10/3/2013,5383658
17/3/2013,5384806
24/3/2013,5385955
31/3/2013,5387104
7/4/2013,5388253
14/4/2013,5389401
21/4/2013,5390550
28/4/2013,5391699
5/5/2013,5392847
12/5/2013,5393996
19/5/2013,5395145
26/5/2013,5396294
2/6/2013,5397442
9/6/2013,5398591
16/6/2013,5399740
23/6/2013,5400888
30/6/2013,5402037
7/7/2013,5403186
14/7/2013,5404335
21/7/2013,5405483
28/7/2013,5406632
4/8/2013,5407781
11/8/2013,5408930
18/8/2013,5410078
25/8/2013,5411227
1/9/2013,5412376
8/9/2013,5413524
15/9/2013,5414673
22/9/2013,5415822
29/9/2013,5416971
6/10/2013,5418119
13/10/2013,5419268
20/10/2013,5420417
27/10/2013,5421565
3/11/2013,5422714
10/11/2013,5423863
17/11/2013,5425012
24/11/2013,5426160
1/12/2013,5427309
8/12/2013,5428458
15/12/2013,5429606
22/12/2013,5430755
29/12/2013,5431904
5/1/2014,5433053
12/1/2014,5434201
19/1/2014,5435350
26/1/2014,5436499
2/2/2014,5437648
9/2/2014,5438796
16/2/2014,5439945
23/2/2014,5441094
2/3/2014,5442242
9/3/2014,5443391
16/3/2014,5444540
23/3/2014,5445689
30/3/2014,5446837
6/4/2014,5447986
13/4/2014,5449135
20/4/2014,5450283
27/4/2014,5451432
4/5/2014,5452581
11/5/2014,5453730
18/5/2014,5454878
25/5/2014,5456027
1/6/2014,5457176
8/6/2014,5458324
15/6/2014,5459473
22/6/2014,5460622
29/6/2014,5461771
6/7/2014,5462919
13/7/2014,5464068
20/7/2014,5465217
27/7/2014,5466366
3/8/2014,5467514
10/8/2014,5468663
17/8/2014,5469812
24/8/2014,5470960
31/8/2014,5472109
7/9/2014,5473258
14/9/2014,5474407
21/9/2014,5475555
28/9/2014,5476704
5/10/2014,5477853
12/10/2014,5479001
19/10/2014,5480150
26/10/2014,5481299
2/11/2014,5482448
9/11/2014,5483596
16/11/2014,5484745
23/11/2014,5485894
30/11/2014,5487042
7/12/2014,5488191
14/12/2014,5489340
21/12/2014,5490489
28/12/2014,5491637
4/1/2015,5492786
11/1/2015,5493935
18/1/2015,5495084
25/1/2015,5496232
1/2/2015,5497381
8/2/2015,5498530
15/2/2015,5499678
22/2/2015,5500827
1/3/2015,5501976
8/3/2015,5503125
15/3/2015,5504273
22/3/2015,5505422
29/3/2015,5506571
5/4/2015,5507719
12/4/2015,5508868
19/4/2015,5510017
26/4/2015,5511166
3/5/2015,5512314
10/5/2015,5513463
17/5/2015,5514612
24/5/2015,5515760
31/5/2015,5516909
7/6/2015,5518058
14/6/2015,5519207
21/6/2015,5520355
28/6/2015,5521504
5/7/2015,5522653
12/7/2015,5523802
19/7/2015,5524950
26/7/2015,5526099
2/8/2015,5527248
9/8/2015,5528396
16/8/2015,5529545
23/8/2015,5530694
30/8/2015,5531843
6/9/2015,5532991
13/9/2015,5534140
20/9/2015,5535289
27/9/2015,5536437
4/10/2015,5537586
11/10/2015,5538735
18/10/2015,5539884
25/10/2015,5541032
1/11/2015,5542181
8/11/2015,5543330
15/11/2015,5544479
22/11/2015,5545627
29/11/2015,5546776
6/12/2015,5547925
13/12/2015,5549073
20/12/2015,5550222
27/12/2015,5551371
3/1/2016,5552520
10/1/2016,5553668
17/1/2016,5554817
24/1/2016,5555966
31/1/2016,5557114
7/2/2016,5558263
14/2/2016,5559412
21/2/2016,5560561
28/2/2016,5561709
6/3/2016,5562858
13/3/2016,5564007
20/3/2016,5565155
27/3/2016,5566304
3/4/2016,5567453
10/4/2016,5568602
17/4/2016,5569750
24/4/2016,5570899
1/5/2016,5572048
8/5/2016,5573197
15/5/2016,5574345
22/5/2016,5575494
29/5/2016,5576643
5/6/2016,5577791
12/6/2016,5578940
19/6/2016,5580089
26/6/2016,5581238
3/7/2016,5582386
10/7/2016,5583535
17/7/2016,5584684
24/7/2016,5585832
31/7/2016,5586981
7/8/2016,5588130
14/8/2016,5589279
21/8/2016,5590427
28/8/2016,5591576
4/9/2016,5592725
11/9/2016,5593873
18/9/2016,5595022
25/9/2016,5596171
2/10/2016,5597320
9/10/2016,5598468
16/10/2016,5599617
23/10/2016,5600766
30/10/2016,5601915
6/11/2016,5603063
13/11/2016,5604212
20/11/2016,5605361
27/11/2016,5606509
4/12/2016,5607658
11/12/2016,5608807
18/12/2016,5609956
25/12/2016,5611104
1/1/2017,5612253
8/1/2017,5612253
15/1/2017,5612253
22/1/2017,5612253
29/1/2017,5612253
5/2/2017,5612253
12/2/2017,5612253
19/2/2017,5612253
26/2/2017,5612253
5/3/2017,5612253
12/3/2017,5612253
19/3/2017,5612253
26/3/2017,5612253
2/4/2017,5612253
9/4/2017,5612253
16/4/2017,5612253
23/4/2017,5612253
30/4/2017,5612253
7/5/2017,5612253
14/5/2017,5612253
21/5/2017,5612253
28/5/2017,5612253
4/6/2017,5612253
11/6/2017,5612253
18/6/2017,5612253
25/6/2017,5612253
2/7/2017,5612253
9/7/2017,5612253
16/7/2017,5612253
23/7/2017,5612253
30/7/2017,5612253
6/8/2017,5612253
13/8/2017,5612253
20/8/2017,5612253
27/8/2017,5612253
3/9/2017,5612253
10/9/2017,5612253
17/9/2017,5612253
24/9/2017,5612253
1/10/2017,5612253
8/10/2017,5612253
15/10/2017,5612253
22/10/2017,5612253
29/10/2017,5612253
5/11/2017,5612253
12/11/2017,5612253
19/11/2017,5612253
26/11/2017,5612253
3/12/2017,5612253
10/12/2017,5612253
17/12/2017,5612253
24/12/2017,5612253
31/12/2017,5612253
7/1/2018,5612253
14/1/2018,5612253
21/1/2018,5612253
28/1/2018,5612253
4/2/2018,5612253
11/2/2018,5612253
18/2/2018,5612253
25/2/2018,5612253
4/3/2018,5612253
11/3/2018,5612253
18/3/2018,5612253
25/3/2018,5612253
1/4/2018,5612253
8/4/2018,5612253
15/4/2018,5612253
22/4/2018,5612253
29/4/2018,5612253
6/5/2018,5612253
13/5/2018,5612253
20/5/2018,5612253
27/5/2018,5612253
3/6/2018,5612253
10/6/2018,5612253
17/6/2018,5612253
24/6/2018,5612253
1/7/2018,5612253
8/7/2018,5612253
15/7/2018,5612253
22/7/2018,5612253
29/7/2018,5612253
5/8/2018,5612253
12/8/2018,5612253
19/8/2018,5612253
26/8/2018,5612253
2/9/2018,5612253
9/9/2018,5612253
16/9/2018,5612253
23/9/2018,5612253
30/9/2018,5612253
7/10/2018,5612253
14/10/2018,5612253
21/10/2018,5612253
28/10/2018,5612253
4/11/2018,5612253
11/11/2018,5612253
18/11/2018,5612253
25/11/2018,5612253
2/12/2018,5612253
9/12/2018,5612253
16/12/2018,5612253
23/12/2018,5612253
30/12/2018,5612253
